"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45128736","418","Vitamin B-12","LCGA","0.0","mcg"
"45128736","601","Cholesterol","LCGA","1.0","mg"
"45128736","605","Fatty acids, total trans","LCGA","0.1","g"
"45128736","606","Fatty acids, total saturated","LCGA","0.8","g"
"45128736","645","Fatty acids, total monounsaturated","LCGA","1.4","g"
"45128736","646","Fatty acids, total polyunsaturated","LCGA","3.1","g"
"45129393","203","Protein","LCGA","14.1","g"
"45129393","204","Total lipid (fat)","LCGA","5.8","g"
"45129393","205","Carbohydrate, by difference","LCGA","18.1","g"
"45129393","207","Ash","LCGA","2.2","g"
"45129393","255","Water","LCGA","59.8","g"
"45129393","269","Sugars, total","LCGA","1.9","g"
"45129393","291","Fiber, total dietary","LCGA","6.8","g"
"45129393","295","Fiber, soluble","LCGA","1.0","g"
"45129393","297","Fiber, insoluble","LCGA","6.0","g"
"45129393","301","Calcium, Ca","LCGA","80.0","mg"
"45129393","303","Iron, Fe","LCGA","1.5","mg"
"45129393","304","Magnesium, Mg","LCGA","35.0","mg"
"45129393","305","Phosphorus, P","LCGA","90.0","mg"
"45129393","306","Potassium, K","LCGA","321.0","mg"
"45129393","307","Sodium, Na","LCGA","452.0","mg"
"45129393","309","Zinc, Zn","LCGA","0.4","mg"
"45129393","318","Vitamin A, IU","LCGA","0.0","IU"
"45129393","324","Vitamin D","LCGA","0.0","IU"
"45129393","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45129393","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45129393","404","Thiamin","LCGA","0.0","mg"
"45129393","405","Riboflavin","LCGA","0.13","mg"
"45129393","406","Niacin","LCGA","0.6","mg"
"45129393","415","Vitamin B-6","LCGA","0.05","mg"
"45129393","417","Folate, total","LCGA","22.0","mcg"
"45129393","418","Vitamin B-12","LCGA","0.0","mcg"
"45129393","601","Cholesterol","LCGA","1.0","mg"
"45129393","605","Fatty acids, total trans","LCGA","0.1","g"
"45129393","606","Fatty acids, total saturated","LCGA","0.8","g"
"45129393","645","Fatty acids, total monounsaturated","LCGA","1.4","g"
"45129393","646","Fatty acids, total polyunsaturated","LCGA","3.1","g"
"45127967","203","Protein","LCGA","15.8","g"
"45127967","204","Total lipid (fat)","LCGA","7.4","g"
"45127967","205","Carbohydrate, by difference","LCGA","18.8","g"
"45127967","207","Ash","LCGA","2.5","g"
"45127967","255","Water","LCGA","55.5","g"
"45127967","269","Sugars, total","LCGA","1.3","g"
"45127967","291","Fiber, total dietary","LCGA","9.1","g"
"45127967","295","Fiber, soluble","LCGA","1.0","g"
"45127967","297","Fiber, insoluble","LCGA","8.0","g"
"45127967","301","Calcium, Ca","LCGA","97.0","mg"
"45127967","303","Iron, Fe","LCGA","1.9","mg"
"45127967","304","Magnesium, Mg","LCGA","18.0","mg"
"45127967","305","Phosphorus, P","LCGA","75.0","mg"
"45127967","306","Potassium, K","LCGA","293.0","mg"
"45127967","307","Sodium, Na","LCGA","374.0","mg"
"45127967","309","Zinc, Zn","LCGA","0.5","mg"
"45127967","318","Vitamin A, IU","LCGA","0.0","IU"
"45127967","324","Vitamin D","LCGA","0.0","IU"
"45127967","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45127967","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45127967","404","Thiamin","LCGA","0.0","mg"
"45127967","405","Riboflavin","LCGA","0.17","mg"
"45127967","406","Niacin","LCGA","0.3","mg"
"45127967","415","Vitamin B-6","LCGA","0.03","mg"
"45127967","417","Folate, total","LCGA","28.0","mcg"
"45127967","418","Vitamin B-12","LCGA","0.0","mcg"
"45127967","601","Cholesterol","LCGA","2.0","mg"
"45127967","605","Fatty acids, total trans","LCGA","0.1","g"
"45127967","606","Fatty acids, total saturated","LCGA","1.1","g"
"45127967","645","Fatty acids, total monounsaturated","LCGA","1.5","g"
"45127967","646","Fatty acids, total polyunsaturated","LCGA","3.4","g"
"45128728","203","Protein","LCGA","16.4","g"
"45128728","204","Total lipid (fat)","LCGA","6.3","g"
"45128728","205","Carbohydrate, by difference","LCGA","15.5","g"
"45128728","207","Ash","LCGA","0.2","g"
"45128728","255","Water","LCGA","61.6","g"
"45128728","269","Sugars, total","LCGA","1.7","g"
"45128728","291","Fiber, total dietary","LCGA","3.3","g"
"45128728","295","Fiber, soluble","LCGA","1.0","g"
"45128728","297","Fiber, insoluble","LCGA","2.0","g"
"45128728","301","Calcium, Ca","LCGA","86.0","mg"
"45128728","303","Iron, Fe","LCGA","1.5","mg"
"45128728","304","Magnesium, Mg","LCGA","12.0","mg"
"45128728","305","Phosphorus, P","LCGA","60.0","mg"
"45128728","306","Potassium, K","LCGA","254.0","mg"
"45128728","307","Sodium, Na","LCGA","537.0","mg"
"45128728","309","Zinc, Zn","LCGA","0.3","mg"
"45128728","318","Vitamin A, IU","LCGA","0.0","IU"
"45128728","324","Vitamin D","LCGA","0.0","IU"
"45128728","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45128728","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128728","404","Thiamin","LCGA","0.0","mg"
"45128728","405","Riboflavin","LCGA","0.2","mg"
"45128728","406","Niacin","LCGA","0.3","mg"
"45128728","415","Vitamin B-6","LCGA","0.02","mg"
"45128728","417","Folate, total","LCGA","5.0","mcg"
"45128728","418","Vitamin B-12","LCGA","0.0","mcg"
"45128728","601","Cholesterol","LCGA","2.0","mg"
"45128728","605","Fatty acids, total trans","LCGA","0.0","g"
"45128728","606","Fatty acids, total saturated","LCGA","0.9","g"
"45128728","645","Fatty acids, total monounsaturated","LCGA","1.7","g"
"45128728","646","Fatty acids, total polyunsaturated","LCGA","3.4","g"
"45244107","203","Protein","LCGA","7.5","g"
"45244107","204","Total lipid (fat)","LCGA","0.4","g"
"45244107","205","Carbohydrate, by difference","LCGA","84.4","g"
"45244107","207","Ash","LCGA","4.7","g"
"45244107","255","Water","LCGA","3.0","g"
"45244107","269","Sugars, total","LCGA","9.3","g"
"45244107","291","Fiber, total dietary","LCGA","1.2","g"
"45244107","295","Fiber, soluble","LCGA","0.0","g"
"45244107","297","Fiber, insoluble","LCGA","1.0","g"
"45244107","301","Calcium, Ca","LCGA","6.0","mg"
"45244107","303","Iron, Fe","LCGA","13.3","mg"
"45244107","304","Magnesium, Mg","LCGA","40.0","mg"
"45244107","305","Phosphorus, P","LCGA","87.0","mg"
"45244107","306","Potassium, K","LCGA","169.0","mg"
"45244107","307","Sodium, Na","LCGA","638.0","mg"
"45244107","309","Zinc, Zn","LCGA","1.0","mg"
"45244107","312","Copper, Cu","LCGA","0.0","mg"
"45244107","315","Manganese, Mn","LCGA","0.0","mg"
"45244107","317","Selenium, Se","LCGA","0.0","mcg"
"45244107","318","Vitamin A, IU","LCGA","0.0","IU"
"45244107","324","Vitamin D","LCGA","0.0","IU"
"45244107","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45244107","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45244107","404","Thiamin","LCGA","2.0","mg"
"45244107","405","Riboflavin","LCGA","2.6","mg"
"45244107","406","Niacin","LCGA","4.8","mg"
"45244107","410","Pantothenic acid","LCGA","1.6","mg"
"45244107","415","Vitamin B-6","LCGA","0.6","mg"
"45244107","417","Folate, total","LCGA","60.0","mcg"
"45244107","418","Vitamin B-12","LCGA","0.0","mcg"
"45244107","601","Cholesterol","LCGA","0.0","mg"
"45244107","605","Fatty acids, total trans","LCGA","0.0","g"
"45244107","606","Fatty acids, total saturated","LCGA","0.1","g"
"45244107","645","Fatty acids, total monounsaturated","LCGA","0.1","g"
"45244107","646","Fatty acids, total polyunsaturated","LCGA","0.2","g"
"45128005","203","Protein","LCGA","12.8","g"
"45128005","204","Total lipid (fat)","LCGA","9.0","g"
"45128005","205","Carbohydrate, by difference","LCGA","26.2","g"
"45128005","207","Ash","LCGA","2.1","g"
"45128005","255","Water","LCGA","49.9","g"
"45128005","269","Sugars, total","LCGA","2.5","g"
"45128005","291","Fiber, total dietary","LCGA","4.3","g"
"45128005","295","Fiber, soluble","LCGA","1.0","g"
"45128005","297","Fiber, insoluble","LCGA","3.0","g"
"45128005","301","Calcium, Ca","LCGA","52.0","mg"
"45128005","303","Iron, Fe","LCGA","3.0","mg"
"45128005","304","Magnesium, Mg","LCGA","35.0","mg"
"45128005","305","Phosphorus, P","LCGA","133.0","mg"
"45128005","306","Potassium, K","LCGA","346.0","mg"
"45128005","307","Sodium, Na","LCGA","456.0","mg"
"45128005","309","Zinc, Zn","LCGA","0.6","mg"
"45128005","318","Vitamin A, IU","LCGA","35.0","IU"
"45128005","324","Vitamin D","LCGA","0.0","IU"
"45128005","340","Vitamin E (label entry primarily)","LCGA","1.0","IU"
"45128005","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128005","404","Thiamin","LCGA","0.0","mg"
"45128005","405","Riboflavin","LCGA","0.1","mg"
"45128005","406","Niacin","LCGA","3.6","mg"
"45128005","415","Vitamin B-6","LCGA","0.2","mg"
"45128005","417","Folate, total","LCGA","1.0","mcg"
"45128005","418","Vitamin B-12","LCGA","1.7","mcg"
"45128005","601","Cholesterol","LCGA","0.0","mg"
"45128005","605","Fatty acids, total trans","LCGA","0.1","g"
"45128005","606","Fatty acids, total saturated","LCGA","1.3","g"
"45128005","645","Fatty acids, total monounsaturated","LCGA","2.4","g"
"45128005","646","Fatty acids, total polyunsaturated","LCGA","4.8","g"
"45128029","203","Protein","LCGA","22.1","g"
"45128029","204","Total lipid (fat)","LCGA","7.7","g"
"45128029","205","Carbohydrate, by difference","LCGA","14.4","g"
"45128029","207","Ash","LCGA","2.6","g"
"45128029","255","Water","LCGA","53.2","g"
"45128029","269","Sugars, total","LCGA","6.1","g"
"45128029","291","Fiber, total dietary","LCGA","3.3","g"
"45128029","295","Fiber, soluble","LCGA","1.0","g"
"45128029","297","Fiber, insoluble","LCGA","2.0","g"
"45128029","301","Calcium, Ca","LCGA","39.0","mg"
"45128029","303","Iron, Fe","LCGA","4.3","mg"
"45128029","304","Magnesium, Mg","LCGA","24.0","mg"
"45128029","305","Phosphorus, P","LCGA","232.0","mg"
"45128029","306","Potassium, K","LCGA","280.0","mg"
"45128029","307","Sodium, Na","LCGA","656.0","mg"
"45128029","309","Zinc, Zn","LCGA","0.5","mg"
"45128029","318","Vitamin A, IU","LCGA","15.0","IU"
"45128029","324","Vitamin D","LCGA","0.0","IU"
"45128029","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45128029","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128029","404","Thiamin","LCGA","5.0","mg"
"45128029","405","Riboflavin","LCGA","0.27","mg"
"45128029","406","Niacin","LCGA","9.8","mg"
"45128029","415","Vitamin B-6","LCGA","0.71","mg"
"45128029","417","Folate, total","LCGA","4.0","mcg"
"45128029","418","Vitamin B-12","LCGA","7.0","mcg"
"45128029","601","Cholesterol","LCGA","1.0","mg"
"45128029","605","Fatty acids, total trans","LCGA","0.1","g"
"45128029","606","Fatty acids, total saturated","LCGA","1.0","g"
"45128029","645","Fatty acids, total monounsaturated","LCGA","1.7","g"
"45128029","646","Fatty acids, total polyunsaturated","LCGA","4.2","g"
"45127783","203","Protein","LCGA","11.0","g"
"45127783","204","Total lipid (fat)","LCGA","17.0","g"
"45127783","205","Carbohydrate, by difference","LCGA","65.3","g"
"45127783","207","Ash","LCGA","3.4","g"
"45127783","255","Water","LCGA","3.3","g"
"45127783","269","Sugars, total","LCGA","10.8","g"
"45127783","291","Fiber, total dietary","LCGA","13.5","g"
"45127783","295","Fiber, soluble","LCGA","5.0","g"
"45127783","297","Fiber, insoluble","LCGA","2.0","g"
"45127783","301","Calcium, Ca","LCGA","112.0","mg"
"45127783","303","Iron, Fe","LCGA","3.9","mg"
"45127783","304","Magnesium, Mg","LCGA","34.0","mg"
"45127783","305","Phosphorus, P","LCGA","206.0","mg"
"45127783","306","Potassium, K","LCGA","330.0","mg"
"45127783","307","Sodium, Na","LCGA","544.0","mg"
"45127783","309","Zinc, Zn","LCGA","0.4","mg"
"45127783","318","Vitamin A, IU","LCGA","110.0","IU"
"45127783","324","Vitamin D","LCGA","0.0","IU"
"45127783","340","Vitamin E (label entry primarily)","LCGA","7.0","IU"
"45127783","401","Vitamin C, total ascorbic acid","LCGA","3.0","mg"
"45127783","404","Thiamin","LCGA","0.0","mg"
"45127783","405","Riboflavin","LCGA","0.02","mg"
"45127783","406","Niacin","LCGA","0.9","mg"
"45127783","415","Vitamin B-6","LCGA","0.06","mg"
"45127783","417","Folate, total","LCGA","15.0","mcg"
"45127783","418","Vitamin B-12","LCGA","0.0","mcg"
"45127783","601","Cholesterol","LCGA","0.0","mg"
"45127783","605","Fatty acids, total trans","LCGA","0.1","g"
"45127783","606","Fatty acids, total saturated","LCGA","2.0","g"
"45127783","645","Fatty acids, total monounsaturated","LCGA","11.0","g"
"45127783","646","Fatty acids, total polyunsaturated","LCGA","2.5","g"
"45128644","203","Protein","LCGA","15.9","g"
"45128644","204","Total lipid (fat)","LCGA","13.6","g"
"45128644","205","Carbohydrate, by difference","LCGA","57.6","g"
"45128644","207","Ash","LCGA","2.9","g"
"45128644","255","Water","LCGA","10.0","g"
"45128644","269","Sugars, total","LCGA","16.0","g"
"45128644","291","Fiber, total dietary","LCGA","9.7","g"
"45128644","295","Fiber, soluble","LCGA","3.0","g"
"45128644","297","Fiber, insoluble","LCGA","4.0","g"
"45128644","301","Calcium, Ca","LCGA","112.0","mg"
"45128644","303","Iron, Fe","LCGA","3.1","mg"
"45128644","304","Magnesium, Mg","LCGA","83.0","mg"
"45128644","305","Phosphorus, P","LCGA","283.0","mg"
"45128644","306","Potassium, K","LCGA","544.0","mg"
"45128644","307","Sodium, Na","LCGA","168.0","mg"
"45128644","309","Zinc, Zn","LCGA","0.5","mg"
"45128644","318","Vitamin A, IU","LCGA","15.0","IU"
"45128644","324","Vitamin D","LCGA","0.0","IU"
"45128644","340","Vitamin E (label entry primarily)","LCGA","3.0","IU"
"45128644","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128644","404","Thiamin","LCGA","0.0","mg"
"45128644","405","Riboflavin","LCGA","0.13","mg"
"45128644","406","Niacin","LCGA","0.6","mg"
"45128644","415","Vitamin B-6","LCGA","0.02","mg"
"45128644","417","Folate, total","LCGA","4.0","mcg"
"45128644","418","Vitamin B-12","LCGA","0.0","mcg"
"45128644","601","Cholesterol","LCGA","0.0","mg"
"45128644","605","Fatty acids, total trans","LCGA","0.0","g"
"45128644","606","Fatty acids, total saturated","LCGA","1.2","g"
"45128644","645","Fatty acids, total monounsaturated","LCGA","7.3","g"
"45128644","646","Fatty acids, total polyunsaturated","LCGA","4.2","g"
"45127787","203","Protein","LCGA","14.0","g"
"45127787","204","Total lipid (fat)","LCGA","14.3","g"
"45127787","205","Carbohydrate, by difference","LCGA","58.8","g"
"45127787","207","Ash","LCGA","2.9","g"
"45127787","255","Water","LCGA","10.0","g"
"45127787","269","Sugars, total","LCGA","19.1","g"
"45127787","291","Fiber, total dietary","LCGA","9.5","g"
"45127787","295","Fiber, soluble","LCGA","3.0","g"
"45127787","297","Fiber, insoluble","LCGA","3.0","g"
"45127787","301","Calcium, Ca","LCGA","107.0","mg"
"45127787","303","Iron, Fe","LCGA","2.8","mg"
"45127787","304","Magnesium, Mg","LCGA","78.0","mg"
"45127787","305","Phosphorus, P","LCGA","259.0","mg"
"45127787","306","Potassium, K","LCGA","500.0","mg"
"45127787","307","Sodium, Na","LCGA","153.0","mg"
"45127787","309","Zinc, Zn","LCGA","0.5","mg"
"45127787","318","Vitamin A, IU","LCGA","16.0","IU"
"45127787","324","Vitamin D","LCGA","0.0","IU"
"45127787","340","Vitamin E (label entry primarily)","LCGA","3.0","IU"
"45127787","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45127787","404","Thiamin","LCGA","0.0","mg"
"45127787","405","Riboflavin","LCGA","0.14","mg"
"45127787","406","Niacin","LCGA","0.7","mg"
"45127787","415","Vitamin B-6","LCGA","0.03","mg"
"45127787","417","Folate, total","LCGA","5.0","mcg"
"45127787","418","Vitamin B-12","LCGA","0.0","mcg"
"45127787","601","Cholesterol","LCGA","0.0","mg"
"45127787","605","Fatty acids, total trans","LCGA","0.0","g"
"45127787","606","Fatty acids, total saturated","LCGA","1.4","g"
"45127787","645","Fatty acids, total monounsaturated","LCGA","7.8","g"
"45127787","646","Fatty acids, total polyunsaturated","LCGA","4.3","g"
"45128646","203","Protein","LCGA","16.7","g"
"45128646","204","Total lipid (fat)","LCGA","14.3","g"
"45128646","205","Carbohydrate, by difference","LCGA","56.3","g"
"45128646","207","Ash","LCGA","2.8","g"
"45128646","255","Water","LCGA","9.9","g"
"45128646","269","Sugars, total","LCGA","13.6","g"
"45128646","291","Fiber, total dietary","LCGA","9.4","g"
"45128646","295","Fiber, soluble","LCGA","3.0","g"
"45128646","297","Fiber, insoluble","LCGA","5.0","g"
"45128646","301","Calcium, Ca","LCGA","66.0","mg"
"45128646","303","Iron, Fe","LCGA","2.8","mg"
